,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
4651,4651,0.8525723383153156,0.9,0,268.0,679.0,1.0,303.0,0,0.3607834606524881
4652,4652,0.442688104794708,0.4,1,402.0,728.0,1.0,230.0,1,0.7099610390943196
4653,4653,-0.7736878058027699,-0.8,1,302.0,882.0,0.0,296.0,0,0.020799476212066792
4654,4654,-0.9435215513216673,-0.9,1,297.0,666.0,0.0,107.0,0,0.7844593544799663
4655,4655,-0.762816743245798,-0.8,1,431.0,926.0,0.0,313.0,0,0.5624718378702123
4656,4656,0.07794023345473944,0.1,1,291.0,851.0,0.0,3858.0,0,0.483363333135455
4657,4657,-0.81339036269735,-0.8,1,397.0,928.0,0.0,155.0,0,0.22476647744589107
4658,4658,0.3101286002209753,0.3,1,334.0,838.0,1.0,678.0,1,0.23159644629532217
4659,4659,-0.5654827180699775,-0.6,1,373.0,548.0,0.0,869.0,0,0.05483149279112931
4660,4660,0.4306372706568531,0.4,1,452.0,595.0,1.0,603.0,1,0.5702769273388574
4661,4661,0.9358169553205595,0.9,0,284.0,817.0,1.0,219.0,0,0.5510726746492473
4662,4662,0.7995808048267097,0.8,0,424.0,823.0,1.0,273.0,0,0.618018674802476
4663,4663,-0.49247124518461494,-0.5,1,431.0,752.0,0.0,277.0,0,0.10592978560286515
4664,4664,0.039500150194825334,0.0,1,268.0,518.0,1.0,4214.0,1,0.345208778308017
4665,4665,0.7037604977329597,0.7,0,298.0,705.0,1.0,767.0,0,0.014390740023082826
4666,4666,-0.5681103403947689,-0.6,1,308.0,602.0,0.0,800.0,0,0.13072377561987547
4667,4667,0.5759657814097359,0.6,0,402.0,573.0,1.0,925.0,0,0.07165897249342545
4668,4668,0.01044202780711978,0.0,1,302.0,828.0,1.0,3150.0,1,0.6489492300360643
4669,4669,-0.0833458847169124,-0.1,1,347.0,863.0,0.0,1190.0,0,0.9082130529593547
4670,4670,0.15463939371253121,0.2,1,312.0,856.0,1.0,562.0,1,0.5900152333598141
4671,4671,-0.5981202408719799,-0.6,1,256.0,675.0,0.0,539.0,0,0.2235813602885005
4672,4672,-0.9434315178859645,-0.9,1,405.0,874.0,0.0,251.0,0,0.1603901282216731
4673,4673,0.4335276589635142,0.4,1,257.0,720.0,1.0,613.0,1,0.3735434523193467
4674,4674,-0.5740979870755547,-0.6,1,391.0,922.0,0.0,437.0,0,0.22197049722720685
4675,4675,0.4886400219940996,0.5,1,425.0,856.0,1.0,409.0,1,0.830301128176891
4676,4676,-0.937496995082362,-0.9,1,336.0,708.0,0.0,306.0,0,0.02809382287397255
4677,4677,0.22250857101630572,0.2,1,425.0,873.0,1.0,712.0,1,0.46942523416048676
4678,4678,-0.18667914945965802,-0.2,1,414.0,961.0,0.0,565.0,0,0.6812083516902007
4679,4679,0.9917568019706737,1.0,0,281.0,970.0,1.0,239.0,0,0.08830048096094723
4680,4680,-0.5432285365911109,-0.5,1,308.0,828.0,0.0,184.0,0,0.8888044089517578
4681,4681,0.8087279114355261,0.8,0,439.0,560.0,1.0,111.0,0,0.20731212783564756
4682,4682,-0.9606988980497739,-1.0,1,452.0,711.0,0.0,257.0,0,0.5853764242858382
4683,4683,-0.8110090228582363,-0.8,1,431.0,837.0,0.0,302.0,0,0.42031085112340927
4684,4684,0.7773558992945322,0.8,0,368.0,879.0,1.0,383.0,0,0.32840562070398094
4685,4685,-0.3275842912874254,-0.3,1,357.0,888.0,0.0,755.0,0,0.20713672908867253
4686,4686,-0.3418102223528403,-0.3,1,270.0,809.0,0.0,341.0,0,0.3218858148684076
4687,4687,-0.11760542271308094,-0.1,1,305.0,855.0,0.0,1910.0,0,0.5962996016240304
4688,4688,-0.757171161006067,-0.8,1,376.0,872.0,0.0,272.0,0,0.5274424929065021
4689,4689,-0.5191708395937544,-0.5,1,357.0,678.0,0.0,235.0,0,0.41603981231428566
4690,4690,-0.21235088779236433,-0.2,1,339.0,507.0,0.0,1914.0,0,0.3403273071731139
4691,4691,-0.6123323036429766,-0.6,1,356.0,908.0,0.0,276.0,0,0.22494759892056648
4692,4692,0.845895136708896,0.8,0,357.0,642.0,1.0,181.0,0,0.5390239505813375
4693,4693,-0.4630128456634117,-0.5,1,493.0,954.0,0.0,323.0,0,0.7040675134035251
4694,4694,-0.3909884697861572,-0.4,1,301.0,955.0,0.0,624.0,0,0.5185076842314014
4695,4695,-0.37614380192816466,-0.4,1,407.0,956.0,0.0,507.0,0,0.6602835291395192
4696,4696,-0.8961674143882359,-0.9,1,263.0,707.0,0.0,210.0,0,0.3419002497691064
4697,4697,0.8265542793070406,0.8,0,398.0,823.0,1.0,269.0,0,0.6512369971344706
4698,4698,-0.5344413125012817,-0.5,1,361.0,944.0,0.0,355.0,0,0.1245392536589236
4699,4699,-0.09098080621198212,-0.1,1,412.0,949.0,0.0,459.0,0,0.9822145490527531
