,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4444,4444,-0.6042759967952944,-0.6,0.0,285.0,599.0,0.0,176.0,1,0.0,0.0
4445,4445,0.3256436301101947,0.3,1.0,323.0,589.0,1.0,448.0,1,0.0,1.0
4446,4446,-0.18602574368013314,-0.2,0.0,262.0,632.0,0.0,386.0,1,0.0,0.0
4447,4447,0.2689756445749668,0.3,1.0,497.0,963.0,1.0,1050.0,1,0.0,1.0
4448,4448,-0.15296152598690294,-0.2,1.0,490.0,802.0,1.0,1538.0,1,1.0,0.0
4449,4449,-0.5069611520642798,-0.5,1.0,256.0,727.0,1.0,227.0,1,1.0,0.0
4450,4450,-0.8809278711230537,-0.9,1.0,359.0,707.0,1.0,184.0,1,1.0,0.0
4451,4451,0.7784273060018655,0.8,1.0,399.0,867.0,1.0,74.0,1,0.0,1.0
4452,4452,-0.5277010293169425,-0.5,1.0,332.0,733.0,1.0,355.0,1,1.0,0.0
4453,4453,0.01866410727684975,0.0,1.0,334.0,645.0,0.0,4021.0,0,0.0,0.0
4454,4454,0.21960262887063753,0.2,0.0,481.0,762.0,0.0,887.0,1,1.0,1.0
4455,4455,0.021945123554243162,0.0,0.0,383.0,972.0,0.0,3395.0,1,1.0,1.0
4456,4456,0.4084073029789147,0.4,0.0,382.0,575.0,0.0,243.0,1,1.0,1.0
4457,4457,0.7680820211549334,0.8,1.0,292.0,631.0,1.0,167.0,1,0.0,1.0
4458,4458,-0.7515585152176165,-0.8,0.0,441.0,505.0,0.0,124.0,1,0.0,0.0
4459,4459,-0.27560818191993974,-0.3,0.0,431.0,509.0,0.0,160.0,1,0.0,0.0
4460,4460,0.6410799910678885,0.6,1.0,276.0,559.0,1.0,95.0,1,0.0,1.0
